Date,Open,High,Low,Close,Adj Close,Volume
2014-12-04,61.099998,61.570000,60.840000,61.380001,50.645592,11515200
2014-12-05,62.009998,63.060001,61.880001,62.700001,51.734741,20071100
2014-12-08,62.599998,63.160000,62.259998,62.669998,51.709991,15528200
2014-12-09,61.849998,62.849998,61.560001,62.450001,51.528465,19676400
2014-12-10,62.160000,62.240002,60.369999,60.680000,50.068005,29620600
2014-12-11,61.169998,62.060001,61.110001,61.139999,50.447556,16886200
2014-12-12,60.529999,61.220001,59.959999,60.040001,49.539932,17405400
2014-12-15,60.740002,60.810001,58.790001,59.160000,48.813828,19209900
2014-12-16,58.419998,59.860001,58.110001,58.430000,48.211502,20709700
2014-12-17,58.570000,59.830002,58.340000,59.770000,49.317150,17856400
2014-12-18,60.639999,61.480000,60.439999,61.480000,50.728107,18173400
2014-12-19,61.400002,62.349998,61.369999,61.930000,51.099400,22756400
2014-12-22,62.160000,62.330002,61.610001,61.939999,51.107651,17073400
2014-12-23,62.049999,62.970001,61.930000,62.480000,51.553226,13552600
2014-12-24,62.740002,62.869999,62.270000,62.480000,51.553226,7412500
2014-12-26,62.669998,62.889999,62.410000,62.549999,51.610985,6086500
2014-12-29,62.419998,63.340000,62.250000,62.959999,51.949265,10601200
2014-12-30,62.720001,63.279999,62.570000,63.150002,52.106052,7518100
2014-12-31,63.299999,63.490002,62.580002,62.580002,51.635719,18529400
2015-01-02,62.180000,62.959999,62.070000,62.490002,51.893166,12600000
2015-01-05,62.060001,62.279999,60.230000,60.549999,50.282135,20100600
2015-01-06,60.639999,60.750000,58.349998,58.980000,48.978378,29074100
2015-01-07,59.889999,59.889999,58.669998,59.070000,49.053112,23843200
2015-01-08,59.970001,60.900002,59.970001,60.389999,50.149273,16971100
2015-01-09,60.720001,60.790001,59.290001,59.340000,49.277332,15396200
2015-01-12,59.279999,59.400002,58.270000,58.830002,48.853813,15455200
2015-01-13,59.259998,59.700001,58.369999,58.840000,48.862118,21644700
2015-01-14,58.840000,58.840000,55.270000,56.810001,47.176353,49602300
2015-01-15,55.730000,56.610001,54.500000,54.990002,45.664982,42458100
2015-01-16,54.660000,56.000000,54.639999,55.930000,46.445587,29368900
2015-01-20,56.040001,56.389999,55.419998,55.709999,46.262878,23477700
2015-01-21,55.450001,56.419998,55.189999,55.889999,46.412361,21842400
2015-01-22,56.380001,57.730000,55.959999,57.590000,47.824081,31423500
2015-01-23,57.720001,57.869999,56.660000,56.680000,47.068401,15458300
2015-01-26,56.410000,56.990002,56.200001,56.770000,47.143139,12577700
2015-01-27,56.049999,56.610001,55.759998,56.200001,46.669792,15220500
2015-01-28,56.619999,56.680000,54.750000,54.750000,45.465687,24354400
2015-01-29,55.270000,55.889999,54.680000,55.669998,46.229671,20393300
2015-01-30,54.990002,55.500000,54.369999,54.380001,45.158428,26943700
